# UDDS profile from SLIDE https://github.com/davidhowey/SLIDE/blob/master/Current%20Profile%20drive%20cycle%20UDDS.csv	
# with a maximum current of 0.81A	
# Time [s]	 Current [A]
1290	-0.12617
1291	-0.090025
1292	-0.11013
1293	-0.13119
1294	-0.093671
1295	-0.074571
1296	-0.11497
1297	-0.09613
1298	-0.22085
1299	-0.22787
1300	-0.16894
1301	-0.21691
1302	-0.086236
1303	-0.041592
1304	0.10735
1305	0.42195
1306	0.36985
1307	0.31731
1308	0.26438
1309	0.21113
1310	0.15763
1311	0.10392
1312	0.050071
1313	0.0028015
1314	-0.0030392
1315	-0.0030392
1316	-0.0030392
1317	-0.0030392
1318	-0.0030392
1319	-0.0030392
1320	-0.0030392
1321	-0.0030392
1322	-0.0030392
1323	-0.0030392
1324	-0.0030392
1325	-0.0030392
1326	-0.0030392
1327	-0.0030392
1328	-0.0030392
1329	-0.0030392
1330	-0.0030392
1331	-0.0030392
1332	-0.0030392
1333	-0.0030392
1334	-0.0030392
1335	-0.0030392
1336	-0.0030392
1337	-0.0030392
1338	-0.011977
1339	-0.088564
1340	-0.17821
1341	-0.26801
1342	-0.19564
1343	-0.23575
1344	-0.24115
1345	-0.23841
1346	-0.21329
1347	-0.16352
1348	-0.20306
1349	-0.14463
1350	-0.079757
1351	-0.097831
1352	0.014173
1353	0.013972
1354	0.025086
1355	0.035555
1356	0.0239
1357	0.012877
1358	0.083321
1359	0.069193
1360	0.065352
1361	0.061481
1362	0.095819
1363	0.18067
1364	0.13678
1365	0.08718
1366	0.04758
1367	0.012072
1368	-0.0030392
1369	-0.0030392
