Time [s],Current [A],Terminal voltage [V],Loss of charge to sei [Ah]
22920.0,-1.4445433741054258e-05,3.9,0.0006001889390214977
22980.0,-1.4441858688213241e-05,3.9,0.0006016818706019744
23040.000000000004,-1.4438283927117236e-05,3.9,0.0006031747660732652
23100.0,-1.4434709866339595e-05,3.9,0.0006046673616479357
23160.000000000004,-1.4431137303107655e-05,3.9,0.0006061596780047293
23220.0,-1.4427569556150551e-05,3.9,0.0006076514999724664
23280.0,-1.4424007676425145e-05,3.9,0.0006091425994034214
23340.000000000004,-1.4420446088330987e-05,3.9,0.0006106336628580097
23400.0,-1.4416885210917636e-05,3.9,0.0006121244275183564
23460.0,-1.441332576373744e-05,3.9,0.0006136149139868433
23520.0,-1.440977113213363e-05,3.9,0.0006151049078820229
23580.0,-1.4406222340946627e-05,3.9,0.0006165941818915752
23640.000000000004,-1.4402673840075908e-05,3.9,0.0006180834200567601
23700.0,-1.43991260430511e-05,3.9,0.0006195723605233508
23760.0,-1.4395579648130725e-05,3.9,0.0006210610238178313
23820.0,-1.439203805171221e-05,3.9,0.0006225491963436565
23880.0,-1.438850226505585e-05,3.9,0.0006240366516188439
23940.000000000004,-1.4384966767196555e-05,3.9,0.0006255240711808608
24000.0,-1.438143197238562e-05,3.9,0.0006270111941332445
24060.0,-1.4377898584224783e-05,3.9,0.0006284980409270553
24120.000000000004,-1.4374369936764444e-05,3.9,0.0006299843987458837
24180.0,-1.4370847073141322e-05,3.9,0.0006314700419330149
24240.0,-1.4367324497041572e-05,3.9,0.0006329556495373801
24300.0,-1.4363802601272521e-05,3.9,0.000634440961614448
24360.0,-1.436028210872435e-05,3.9,0.0006359259985403231
24420.000000000004,-1.435676634914404e-05,3.9,0.0006374105482739876
24480.0,-1.4353256336821586e-05,3.9,0.0006388943859789967
24540.0,-1.4349746610148322e-05,3.9,0.000640378188230848
24600.0,-1.4346237554936506e-05,3.9,0.0006418616960311851
24660.0,-1.4342729885129245e-05,3.9,0.0006433449296815899
24720.000000000004,-1.4339226929711966e-05,3.9,0.0006448276779117449
24780.0,-1.4335729688762601e-05,3.9,0.0006463097167005307
24840.0,-1.4332232731855646e-05,3.9,0.0006477917201649812
24900.000000000004,-1.4328736441851282e-05,3.9,0.0006492734302471839
24960.0,-1.4325241490444752e-05,3.9,0.000650754867174657
25020.000000000004,-1.4321751283826272e-05,3.9,0.0006522358204431376
25080.0,-1.4318266733392126e-05,3.9,0.000653716066841899
25140.0,-1.4314782464029448e-05,3.9,0.0006551962780443708
25200.000000000004,-1.4311298842382024e-05,3.9,0.0006566761969274039
25260.0,-1.4307816575483997e-05,3.9,0.0006581558436449107
25320.0,-1.4304339019640718e-05,3.9,0.0006596350084540466
25380.0,-1.4300867080306178e-05,3.9,0.0006611134689496218
25440.0,-1.4297395420085263e-05,3.9,0.0006625918943761821
25500.000000000004,-1.4293924413623232e-05,3.9,0.0006640700285397103
25560.0,-1.4290454733588226e-05,3.9,0.0006655478915209623
25620.0,-1.428698973585813e-05,3.9,0.0006670252743339277
25680.0,-1.4283530354456155e-05,3.9,0.0006685019553741205
